"REID","Record Type Desc","Parcel Status Desc","Property Class Desc","Sale Date","Sale Price","Sale Type Desc","Sale Status Desc","Sale Disqualification Reason Desc","Ownership Document Number"
3026,Sale,ACTIVE,RESIDENTIAL,"12/9/2022 12:00:01 AM",337500.00,PACKAGE,QUALIFIED,,2355811
3061,Sale,ACTIVE,RESIDENTIAL,"4/1/2022 12:00:01 AM",555000.00,PACKAGE,QUALIFIED,,2321789
3156,Sale,ACTIVE,RESIDENTIAL,"1/3/2022 12:00:01 AM",313000.00,PACKAGE,QUALIFIED,,2308233
3166,Sale,ACTIVE,RESIDENTIAL,"2/28/2022 12:00:01 AM",640000.00,PACKAGE,QUALIFIED,,2317021
3168,Sale,ACTIVE,RESIDENTIAL,"9/19/2022 12:00:01 AM",725000.00,PACKAGE,QUALIFIED,,2346444
3171,Sale,ACTIVE,RESIDENTIAL,"6/27/2022 12:00:01 AM",840000.00,PACKAGE,QUALIFIED,,2334513
3196,Sale,ACTIVE,RESIDENTIAL,"3/14/2022 12:00:01 AM",349900.00,PACKAGE,QUALIFIED,,2318934
3257,Sale,ACTIVE,RESIDENTIAL,"1/7/2022 12:00:01 AM",575000.00,PACKAGE,QUALIFIED,,2309098
3309,Sale,ACTIVE,RESIDENTIAL,"8/17/2022 12:00:01 AM",224500.00,LAND,QUALIFIED,,2341705
3335,Sale,ACTIVE,RESIDENTIAL,"6/21/2022 12:00:01 AM",508112.00,PACKAGE,QUALIFIED,,2333651
3358,Sale,ACTIVE,RESIDENTIAL,"3/18/2022 12:00:01 AM",265000.00,PACKAGE,QUALIFIED,,2319648
3362,Sale,ACTIVE,RESIDENTIAL,"5/24/2022 12:00:01 AM",301000.00,PACKAGE,QUALIFIED,,2329794
3366,Sale,ACTIVE,RESIDENTIAL,"10/3/2022 12:00:01 AM",273000.00,PACKAGE,QUALIFIED,,2348364
3381,Sale,ACTIVE,RESIDENTIAL,"6/13/2022 12:00:01 AM",270000.00,PACKAGE,QUALIFIED,,2332620
3413,Sale,ACTIVE,RESIDENTIAL,"6/3/2022 12:00:01 AM",42000.00,LAND,QUALIFIED,,2331401
